|CO_MUNICIPIO|ANO_CENSO|NUM_COMP_ALUNOS_POR_CIDADE|IOEB
509|2103406|2015.0|247.0|3.6
510|2103505|2015.0|164.0|3.3
511|2103554|2015.0|19.0|2.1
512|2103604|2015.0|354.0|3.6
513|2103703|2015.0|95.0|3.7
514|2103752|2015.0|88.0|3.2
515|2103802|2015.0|81.0|3.8
516|2103901|2015.0|83.0|3.3
517|2104008|2015.0|109.0|3.5
518|2104057|2015.0|110.0|3.3
519|2104073|2015.0|67.0|3.2
520|2104081|2015.0|82.0|3.2
521|2104099|2015.0|99.0|3.5
522|2104107|2015.0|41.0|3.5
523|2104206|2015.0|96.0|3.6
524|2104305|2015.0|36.0|3.5
525|2104404|2015.0|73.0|3.6
526|2104503|2015.0|91.0|3.6
527|2104552|2015.0|102.0|3.5
528|2104602|2015.0|14.0|3.1
529|2104628|2015.0|96.0|3.6
530|2104651|2015.0|45.0|3.4
531|2104677|2015.0|67.0|3.1
532|2104701|2015.0|53.0|3.7
533|2104800|2015.0|60.0|3.0
534|2104909|2015.0|64.0|3.4
535|2105005|2015.0|179.0|3.3
536|2105104|2015.0|94.0|3.4
537|2105153|2015.0|109.0|2.9
538|2105203|2015.0|65.0|3.4
539|2105302|2015.0|1662.0|4.1
540|2105351|2015.0|16.0|3.3
541|2105401|2015.0|164.0|3.3
542|2105427|2015.0|165.0|3.7
543|2105450|2015.0|48.0|0.0
544|2105476|2015.0|64.0|3.3
545|2105500|2015.0|286.0|3.1
546|2105609|2015.0|8.0|2.8
547|2105658|2015.0|62.0|4.1
548|2105708|2015.0|216.0|3.2
549|2105807|2015.0|66.0|3.3
550|2105906|2015.0|38.0|3.0
551|2105922|2015.0|48.0|4.0
552|2105948|2015.0|60.0|4.2
553|2105963|2015.0|92.0|3.2
554|2105989|2015.0|56.0|3.8
555|2106003|2015.0|33.0|3.7
556|2106102|2015.0|100.0|3.6
557|2106201|2015.0|19.0|3.3
558|2106300|2015.0|134.0|3.1
559|2106326|2015.0|44.0|3.0
560|2106359|2015.0|5.0|2.9
561|2106375|2015.0|75.0|3.5
562|2106409|2015.0|112.0|3.2
563|2106508|2015.0|48.0|2.8
564|2106607|2015.0|149.0|3.3
565|2106631|2015.0|104.0|3.3
566|2106672|2015.0|15.0|3.5
567|2106706|2015.0|71.0|2.9
568|2106755|2015.0|39.0|3.8
569|2106805|2015.0|47.0|2.7
570|2106904|2015.0|192.0|0.0
571|2107001|2015.0|60.0|3.2
572|2107100|2015.0|47.0|3.1
573|2107209|2015.0|64.0|3.4
